20180528,,,,,20180521,,,
feature,RMSE,accuracy,score,,feature,RMSE,accuracy,score
Bias_3_6,17.9869,0.355556,8.246469792,,Bias_3_6,19.6966,0.333333,8.012300858
Bias_ma,21.2473,0.466667,9.507650012,,Bias_ma,,,
cmo,22.7106,0.355556,7.21811536,,cmo,,,
d,21.0175,0.466667,9.628313735,fastd_matype=1,d,,,
dif,31.2267,0.3,2.207096207,,dif,,,
ema10,0.475151,0.544444,13.79519958,,ema10,,,
ema20,0.732183,0.466667,12.91460806,,ema20,,,
ema30,0.890751,0.455556,13.06930877,,ema30,,,
ema5,0.499512,0.5,13.38975476,,ema5,,,
k,17.1888,0.388889,8.969872525,fastd_matype=0,k,,,
macd,26.7727,0.411111,4.606758512,,macd,,,
macdhist,37.2067,0.322222,-0.379964191,,macdhist,,,
macdsignal,21.6497,0.422222,7.758865176,,macdsignal,,,
nbias20,32.2602,0.288889,3.41512526,,nbias20,,,
nbias3,31.3993,0.377778,5.033581602,,nbias3,,,
nbias6,31.6368,0.3,3.583820772,,nbias6,,,
ppo,19.9344,0.544444,10.32459342,,ppo,,,
rocr,19.0901,0.277778,6.285448411,,rocr,,,
rsi,21.7668,0.433333,7.643675873,,rsi,,,
apo,26.7727,0.411111,4.606758512,,apo,,,
mom,21.4655,0.322222,6.148092579,,mom,,,
,,,,,,,,
ema10+ppo,0.585047,0.588889,14.19501829,,,,,
ema10+ema5,0.61897,0.444444,12.79344669,,,,,
ema10+ema630,0.409531,0.433333,12.87022714,,,,,
